Complexity,Loss,Equation
1,0.039432842,"1.074499"
3,0.032308947,"logMp ^ 0.11622848"
4,0.027960602,"log(logMp + 0.55222374)"
5,0.021118404,"(logMp ^ 0.36150098) - 0.30687243"
6,0.02083266,"log(logMp + 0.64181507) ^ 0.6604755"
7,0.019312982,"logMp * (1.6351197 - (1.0718007 ^ logMp))"
8,0.01778943,"log((logMp ^ 3.77213) + 5.404025) - logMp"
9,0.017107902,"(-1.7113444 / ((logMp ^ logMp) + logP)) + 1.2672538"
10,0.016925925,"log(((logMp ^ 3.779371) + logP) + 3.4301653) - logMp"
11,0.014382441,"(((FeH / (logP + -1.3652595)) + logMp) ^ 0.2345054) + -0.20659608"
13,0.013877078,"(((FeH * (0.5833387 / (logP + -1.3676751))) + logMp) ^ 0.28515562) + -0.25982368"
14,0.013588147,"((logMp + (0.025826562 / (logP - log(logMp + 1.0341035)))) ^ 0.28343502) + -0.26321566"
15,0.012922377,"-0.2792587 + (((-0.09156853 / (1.4667422 - ((logRhoStar * 0.15037099) + logP))) + logMp) ^ 0.29602417)"
17,0.012151729,"((0.018282186 / (logP - (logRhoStar / (logRhoStar + (logP * -0.12561052))))) + -0.24280049) + (logMp ^ 0.2870205)"
